id,price,effective_date,display_field,pricebook_id,pricebook,default_supplier,supplier_trade_id,supplier_trade
24942,37,27/06/2023 6:10,ELECTRICAL : TP : Telephone point,42332,TP,FALSE,327,ELECTRICAL
31718,37,2/09/2023 7:59,RJF Installations : TP : Telephone point,42332,TP,FALSE,521,RJF Installations
29823,37,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : TP : Telephone point,42332,TP,FALSE,513,Latitude 28 Cabling Pty Ltd
29828,23,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : WTWS : Wiring of Two way switch,42337,WTWS,FALSE,513,Latitude 28 Cabling Pty Ltd
35657,35.4,19/02/2024 14:00,All Clear Electrical : WTWS : Wiring of Two way switch,42337,WTWS,FALSE,495,All Clear Electrical
29826,87,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,FALSE,513,Latitude 28 Cabling Pty Ltd
31721,87,2/09/2023 7:59,RJF Installations : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,FALSE,521,RJF Installations
24939,87,27/06/2023 6:10,ELECTRICAL : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,FALSE,327,ELECTRICAL
28555,31,2/09/2023 7:59,All Clear Electrical : WTV : Wiring of TV point,42336,WTV,FALSE,495,All Clear Electrical
24938,31,27/06/2023 6:10,ELECTRICAL : WTV : Wiring of TV point,42336,WTV,FALSE,327,ELECTRICAL
29827,31,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : WTV : Wiring of TV point,42336,WTV,FALSE,513,Latitude 28 Cabling Pty Ltd
36709,58,30/05/2024 2:00,TL Electrical : WTV : Wiring of TV point,42336,WTV,TRUE,728,TL Electrical
24932,30.2,27/06/2023 6:10,LANDSCAPING : CRUSHERDUST : Crusher Dust,42342,CRUSHERDUST,FALSE,282,LANDSCAPING
36688,333.83,27/05/2024 2:00,Jopa Queensland : CRUSHERDUST : Crusher Dust,42342,CRUSHERDUST,TRUE,726,Jopa Queensland
35003,120,4/12/2023 0:56,Fluid Building Approvals : DRI : Document Registration New Dwelling - Ipswich,42343,DRI,TRUE,576,Fluid Building Approvals
24931,120,27/06/2023 6:10,PRIVATE CERTIFIER : DRI : Document Registration New Dwelling - Ipswich,42343,DRI,FALSE,268,PRIVATE CERTIFIER
35004,137,4/12/2023 0:56,Fluid Building Approvals : DRCB : Document Registration Commercial - Brisbane,42344,DRCB,TRUE,576,Fluid Building Approvals
24930,137,27/06/2023 6:10,PRIVATE CERTIFIER : DRCB : Document Registration Commercial - Brisbane,42344,DRCB,FALSE,268,PRIVATE CERTIFIER
35005,74,4/12/2023 0:56,Fluid Building Approvals : PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),42345,PDSSI,TRUE,576,Fluid Building Approvals
24929,74,27/06/2023 6:10,PRIVATE CERTIFIER : PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),42345,PDSSI,FALSE,268,PRIVATE CERTIFIER
24937,23,27/06/2023 6:10,ELECTRICAL : WTWS : Wiring of Two way switch,42337,WTWS,FALSE,327,ELECTRICAL
24936,1,27/06/2023 6:10,SITE WORKS : SITEWKS : Rock retaining as Quoted,42338,SITEWKS,FALSE,256,SITE WORKS
35187,1,4/12/2023 2:15,BWS Earthworks : SITEWKS : Rock retaining as Quoted,42338,SITEWKS,FALSE,571,BWS Earthworks
32874,1,25/10/2023 5:01,SITE CLEAN : SITEWKS : Rock retaining as Quoted,42338,SITEWKS,FALSE,257,SITE CLEAN
36086,1,28/02/2024 5:54,Heartwood Industries Pty Ltd : SITEWKS : Rock retaining as Quoted,42338,SITEWKS,FALSE,508,Heartwood Industries Pty Ltd
32875,110,25/10/2023 5:01,SITE CLEAN : SITEWKS1 : Site cut as Directed,42339,SITEWKS1,FALSE,257,SITE CLEAN
36085,110,28/02/2024 5:54,Heartwood Industries Pty Ltd : SITEWKS1 : Site cut as Directed,42339,SITEWKS1,FALSE,508,Heartwood Industries Pty Ltd
