id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
46955,U2740C24JHWSD,Additional Upgrade to 2740 Ceilings - Increase Window and Sliding Doors and Front Door to 2400 Joinery Height,Each,,,,,,1500,QUICK SPEC,,
46956,U2740CIDR2340,Additional Upgrade to 2740 Ceilings - Increase Internal Doors and Robes to 2340 High,Each,,,,,,1500,QUICK SPEC,,
46957,UPP,Upgrade to Push Porch,Each,,,,,,1800,QUICK SPEC,,
46958,UGABLE,Upgrade to Gable,Each,,,,,,1500,QUICK SPEC,,
46959,URP,Upgrade to Raised Portico,Each,,,,,,2000,QUICK SPEC,,
46960,UULF,Upgrade to Up/Down Lights to Front,Each,,,,,,400,QUICK SPEC,,
46961,UEXSL,Upgrade to External Spotlight,Each,,,,,,125,QUICK SPEC,,
46962,U920D,Upgrade to 920 Hinged Door with Glass (Paint Grade),Each,,,,,,250,QUICK SPEC,,
46963,U1020D,Upgrade to 1020 Hinged Door with Glass (Paint Grade),Each,,,,,,350,QUICK SPEC,,
46964,U1200DPG,Upgrade to 1200 Pivot Door with Glass (Paint Grade),Each,,,,,,1250,QUICK SPEC,,
46965,U1200DSG,Upgrade to 1200 Pivot Door with Glass (Stain Grade),Each,,,,,,1850,QUICK SPEC,,
46966,USPS,Additional Split Airconditioner - Small Room,Each,,,,,,1450,QUICK SPEC,,
46967,USPL,Additional Split Airconditioner - Large Room,Each,,,,,,2070,QUICK SPEC,,
46968,UDA,Upgrade to Ducted Airconditioning,Each,,,,,,7221,QUICK SPEC,,
46969,UDAZC,Additional Upgrade to Ducted Airconditioning -Zone Controls,Each,,,,,,2317,QUICK SPEC,,
46970,UKT40,Upgrade to 40mm Engineered Stone Tops Kitchen,Sqm,,,,,,293,QUICK SPEC,,
46971,UKTWF40,Upgrade to 40mm Engineered Stone Waterfall Ends - Butt joint,Each,,,,,,623,QUICK SPEC,,
46972,UKPD,Additional Pot Drawers,Each,,,,,,125,QUICK SPEC,,
46973,UKTWF20,Upgrade to 20mm Engineered Stone Waterfall Ends - Butt joint,Each,,,,,,494,QUICK SPEC,,
46974,UKTWFMJ,Upgrade to Mitre Joints on Waterfall Ends,Each,,,,,,225,QUICK SPEC,,
46975,U9A,"Upgrade to 900 Std Rangehood,Oven,and Cooktop",Each,,,,,,2700,QUICK SPEC,,
46976,URHC,Additional Upgrade to Canopy Rangehood,Each,,,,,,175,QUICK SPEC,,
