item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
BSF51400,500 X 1400 Barrier Screen Fireguard,General,Each,60.70,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF51500,500 X 1500 Barrier Screen Fireguard,General,Each,63.04,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF51000,500 X 1000 Barrier Screen Fireguard,General,Each,51.36,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6300,600 X 300 Barrier Screen Fireguard,General,Each,40.26,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6400,600 X 400 Barrier Screen Fireguard,General,Each,39.38,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6500,600 X 500 Barrier Screen Fireguard,General,Each,45.52,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6600,600 X 600 Barrier Screen Fireguard,General,Each,53.07,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6700,600 X 700 Barrier Screen Fireguard,General,Each,47.39,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6800,600 X 800 Barrier Screen Fireguard,General,Each,54.19,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF6900,600 X 900 Barrier Screen Fireguard,General,Each,57.08,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61000,600 X 1000 Barrier Screen Fireguard,General,Each,55.40,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61100,600 X 1100 Barrier Screen Fireguard,General,Each,62.86,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61200,600 X 1200 Barrier Screen Fireguard,General,Each,60.74,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61300,600 X 1300 Barrier Screen Fireguard,General,Each,63.41,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61400,600 X 1400 Barrier Screen Fireguard,General,Each,66.08,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF61500,600 X 1500 Barrier Screen Fireguard,General,Each,68.76,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7300,700 X 300 Barrier Screen Fireguard,General,Each,37.99,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7400,700 X 400 Barrier Screen Fireguard,General,Each,41.38,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7500,700 X 500 Barrier Screen Fireguard,General,Each,44.39,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7600,700 X 600 Barrier Screen Fireguard,General,Each,47.39,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7700,700 X 700 Barrier Screen Fireguard,General,Each,50.40,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7800,700 X 800 Barrier Screen Fireguard,General,Each,53.41,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF7900,700 X 900 Barrier Screen Fireguard,General,Each,56.41,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71000,700 X 1000 Barrier Screen Fireguard,General,Each,59.42,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71100,700 X 1100 Barrier Screen Fireguard,General,Each,62.43,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71200,700 X 1200 Barrier Screen Fireguard,General,Each,65.44,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71300,700 X 1300 Barrier Screen Fireguard,General,Each,68.44,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71400,700 X 1400 Barrier Screen Fireguard,General,Each,71.45,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF71500,700 X 1500 Barrier Screen Fireguard,General,Each,74.46,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8300,800 X 300 Barrier Screen Fireguard,General,Each,39.66,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8400,800 X 400 Barrier Screen Fireguard,General,Each,43.38,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8500,800 X 500 Barrier Screen Fireguard,General,Each,46.72,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8600,800 X 600 Barrier Screen Fireguard,General,Each,50.07,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8700,800 X 700 Barrier Screen Fireguard,General,Each,53.41,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8900,800 X 900 Barrier Screen Fireguard,General,Each,60.10,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81000,800 X 1000 Barrier Screen Fireguard,General,Each,63.44,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81100,800 X 1100 Barrier Screen Fireguard,General,Each,66.78,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81200,800 X 1200 Barrier Screen Fireguard,General,Each,70.13,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81300,800 X 1300 Barrier Screen Fireguard,General,Each,73.47,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81400,800 X 1400 Barrier Screen Fireguard,General,Each,76.81,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF81500,800 X 1500 Barrier Screen Fireguard,General,Each,80.16,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF8800,800 X 800 Barrier Screen Fireguard,General,Each,56.75,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9300,900 X 300 Barrier Screen Fireguard,General,Each,47.58,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9400,900 X 400 Barrier Screen Fireguard,General,Each,45.38,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9500,900 X 500 Barrier Screen Fireguard,General,Each,60.39,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9600,900 X 600 Barrier Screen Fireguard,General,Each,57.09,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9700,900 X 700 Barrier Screen Fireguard,General,Each,56.42,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9800,900 X 800 Barrier Screen Fireguard,General,Each,65.06,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF9900,900 X 900 Barrier Screen Fireguard,General,Each,69.04,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF91000,900 X 1000 Barrier Screen Fireguard,General,Each,67.46,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF91100,900 X 1100 Barrier Screen Fireguard,General,Each,71.14,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
